Age,Gender,Income,Education,Marital_Status,Employment_Years,Loan_Amount,Loan_Term,Credit_Score,Existing_Loans,Property_Type,Monthly_Debt,Approved_Flag
40,Male,73976,Graduate,Married,4,486421,24,755,2,Rent,2934,P4
34,Male,78625,Not Graduate,Married,5,282014,12,516,3,None,363,P4
64,Female,87317,Graduate,Married,23,65494,36,309,3,None,919,P4
41,Female,143811,Graduate,Married,5,41766,36,607,0,Rent,2289,P2
35,Female,37280,Graduate,Single,13,270791,12,820,4,None,1455,P4
40,Male,27350,Not Graduate,Single,25,299095,12,517,4,Rent,2769,P4
21,Male,113014,Graduate,Single,15,126953,36,367,3,Rent,1742,P4
34,Male,142727,Graduate,Single,29,101468,24,796,2,Own,2160,P1
44,Male,66569,Graduate,Single,15,305164,60,531,3,Rent,3896,P4
62,Female,56217,Not Graduate,Single,11,220599,12,505,3,Rent,3927,P4
54,Male,132457,Graduate,Married,30,23328,36,462,2,Rent,1462,P3
56,Male,89157,Not Graduate,Single,16,33542,60,702,5,Rent,1759,P3
45,Male,152492,Not Graduate,Married,5,122974,12,380,0,None,3199,P4
25,Female,46377,Graduate,Married,19,284219,36,638,2,None,4606,P4
38,Male,41800,Not Graduate,Married,23,153785,36,492,2,Rent,2722,P4
65,Male,119495,Not Graduate,Married,25,12405,36,512,0,Rent,370,P3
22,Female,90648,Graduate,Single,0,458226,60,418,0,Rent,2980,P4
60,Female,151283,Graduate,Married,3,348256,36,745,5,Rent,3602,P3
51,Male,111103,Graduate,Single,19,293897,24,549,4,Rent,4684,P4
33,Female,83838,Graduate,Married,22,125905,24,811,2,None,4645,P2
56,Female,48742,Graduate,Married,20,355564,48,756,1,None,3453,P3
58,Male,49415,Not Graduate,Married,11,473400,24,719,2,Rent,2766,P4
22,Male,156053,Not Graduate,Married,23,339628,48,548,4,Own,837,P3
25,Female,60771,Graduate,Single,17,151386,24,822,1,Rent,4394,P2
50,Male,110440,Graduate,Married,28,199183,12,622,0,None,2383,P2
65,Female,167261,Graduate,Married,11,464921,36,540,2,None,3459,P3
22,Female,181611,Graduate,Married,23,11940,24,491,3,None,3676,P3
50,Female,68177,Graduate,Single,4,114539,24,803,3,Rent,72,P3
27,Female,39731,Not Graduate,Single,22,57975,24,440,1,Rent,1866,P4
50,Male,159447,Not Graduate,Single,22,322403,12,782,5,Own,3356,P2
49,Female,143710,Graduate,Married,7,232110,24,425,3,Rent,2368,P4
25,Female,79616,Not Graduate,Single,1,70926,60,720,4,Own,3283,P3
51,Male,126842,Not Graduate,Married,30,470941,24,455,5,None,2812,P4
61,Female,53972,Not Graduate,Married,2,278104,48,760,3,Own,0,P4
59,Male,146123,Graduate,Married,14,128135,36,760,3,None,1529,P2
22,Male,150916,Graduate,Married,0,473198,12,702,4,Rent,2046,P3
32,Male,73886,Not Graduate,Married,12,350668,60,846,4,Own,1924,P3
31,Male,104338,Graduate,Married,25,69288,60,582,5,Rent,194,P3
41,Female,80132,Not Graduate,Married,15,414165,24,762,4,Rent,92,P4
27,Male,25629,Graduate,Married,7,34215,12,604,0,Rent,1465,P3
59,Male,42915,Not Graduate,Married,12,453859,60,321,2,Rent,4256,P4
55,Female,192790,Not Graduate,Married,2,199761,12,530,3,Rent,4933,P4
57,Female,102086,Graduate,Single,18,150276,60,317,2,Own,4184,P4
29,Male,46595,Graduate,Single,0,31481,12,666,0,None,4702,P3
21,Male,27968,Not Graduate,Married,10,465986,60,383,1,None,4631,P4
61,Female,83613,Graduate,Married,1,282018,60,478,1,Rent,3424,P4
34,Female,196908,Not Graduate,Married,7,305951,24,780,0,Own,614,P1
50,Female,89263,Not Graduate,Married,2,425934,24,707,4,Rent,1834,P4
61,Female,199903,Graduate,Married,28,256661,12,485,2,Own,3681,P3
22,Male,108097,Not Graduate,Married,23,148484,48,578,4,None,1982,P3
21,Female,157512,Graduate,Single,28,390305,24,620,5,Own,1344,P3
21,Male,161380,Not Graduate,Single,21,267442,48,494,5,Own,191,P3
28,Male,25069,Graduate,Single,15,123162,48,713,5,Own,1693,P4
23,Female,21096,Graduate,Single,5,423052,36,381,2,Rent,1691,P4
57,Female,186046,Graduate,Single,29,407228,24,534,1,Rent,4069,P3
48,Male,187845,Not Graduate,Single,28,127413,24,440,0,Rent,3922,P3
65,Male,43872,Not Graduate,Single,12,326732,36,674,3,Own,565,P4
57,Female,136278,Not Graduate,Single,6,460847,12,652,0,None,2597,P3
64,Male,186273,Graduate,Single,12,400687,36,744,1,Rent,4515,P2
31,Female,191117,Graduate,Single,12,103386,48,503,1,Own,2383,P2
33,Male,73347,Not Graduate,Married,28,428583,36,427,1,Rent,4782,P4
59,Female,167130,Not Graduate,Married,2,32901,24,318,2,Rent,455,P4
32,Male,136340,Graduate,Married,19,310587,60,774,1,Rent,1610,P2
23,Male,187011,Not Graduate,Married,23,258145,36,481,3,Own,4595,P3
51,Male,46409,Graduate,Married,23,23183,48,715,5,Rent,3580,P3
57,Female,128180,Graduate,Married,5,364383,12,501,3,Own,1415,P3
64,Female,24408,Not Graduate,Married,12,152385,60,482,4,Rent,4459,P4
62,Female,84315,Graduate,Married,10,426876,48,429,0,Rent,1914,P4
26,Female,22053,Graduate,Single,12,439620,60,730,0,Rent,3963,P4
55,Male,99724,Not Graduate,Married,2,297278,48,457,1,Own,1653,P4
59,Female,165996,Not Graduate,Married,2,315344,36,463,5,Own,1694,P4
52,Female,138446,Graduate,Married,0,30787,36,688,1,Own,1643,P2
57,Female,77037,Not Graduate,Married,29,445578,48,585,5,Rent,1826,P4
58,Female,96848,Graduate,Single,12,342373,36,711,4,Own,2997,P3
41,Female,86140,Graduate,Single,7,195341,48,357,4,Rent,4047,P4
22,Female,151701,Graduate,Married,24,47443,24,828,1,Own,3135,P1
41,Female,67917,Graduate,Married,15,254840,48,430,0,Rent,129,P4
30,Male,36532,Graduate,Married,11,450920,24,365,1,Rent,2993,P4
26,Female,111211,Graduate,Single,3,431984,36,360,5,Own,2157,P4
26,Male,169398,Not Graduate,Single,11,53829,12,471,2,Rent,342,P4
52,Female,105885,Not Graduate,Single,20,382206,60,533,2,Rent,1652,P4
43,Male,56754,Not Graduate,Married,19,45502,48,342,1,Rent,4848,P4
45,Female,28291,Not Graduate,Single,12,191863,24,643,2,Rent,1743,P4
54,Male,189911,Graduate,Single,19,226352,12,637,2,Own,3570,P2
45,Female,156931,Graduate,Single,23,16202,60,728,4,Own,997,P1
49,Male,47998,Graduate,Married,28,72949,12,309,4,Rent,4414,P4
24,Male,33307,Not Graduate,Married,16,440768,36,353,2,None,4070,P4
59,Female,43249,Graduate,Married,7,316554,12,413,2,Own,798,P4
41,Female,87776,Graduate,Married,4,394247,48,541,2,Own,3456,P4
27,Male,166138,Graduate,Single,4,287846,24,623,1,Rent,4661,P3
57,Male,48777,Graduate,Married,0,227335,36,411,0,Rent,4523,P4
54,Female,167367,Not Graduate,Married,17,14013,36,497,1,None,3609,P3
23,Female,20340,Not Graduate,Single,6,275389,24,582,0,Own,3649,P4
29,Male,152977,Graduate,Married,7,386426,48,599,0,None,2504,P3
21,Female,70835,Not Graduate,Single,22,106134,36,590,1,Rent,746,P3
33,Male,192896,Not Graduate,Single,9,248052,36,652,5,Rent,115,P3
25,Female,105652,Graduate,Single,25,208990,24,716,1,Own,1466,P2
52,Male,68697,Graduate,Single,4,436120,36,762,4,Own,1266,P3
44,Male,63726,Not Graduate,Married,10,85781,24,831,0,Own,4570,P2
65,Male,168797,Graduate,Married,1,57126,36,516,2,Rent,4194,P3
54,Female,92540,Graduate,Single,16,109232,48,480,3,Own,1623,P3
48,Female,83367,Graduate,Married,3,82324,36,453,3,Own,1896,P4
43,Male,152421,Not Graduate,Married,7,423953,12,492,4,Own,3716,P4
23,Female,116732,Not Graduate,Single,22,133994,60,596,1,None,3392,P3
24,Female,139491,Not Graduate,Married,27,184424,48,632,4,Own,4433,P3
48,Female,100208,Graduate,Married,16,132298,60,338,2,Rent,3654,P4
21,Female,31520,Graduate,Married,29,408288,12,850,2,Rent,3459,P3
22,Male,21053,Not Graduate,Married,23,333707,60,323,1,None,3879,P4
30,Male,27038,Not Graduate,Single,23,239580,36,520,5,Rent,4470,P4
60,Female,123403,Not Graduate,Married,30,400459,60,549,4,Rent,1912,P4
41,Male,112452,Not Graduate,Married,2,40035,48,490,2,Own,1257,P4
52,Male,154551,Graduate,Married,7,340837,60,420,4,Own,4550,P4
39,Male,181035,Not Graduate,Single,13,183956,12,592,5,Own,807,P3
28,Female,51419,Not Graduate,Married,19,192728,36,303,1,Rent,1461,P4
37,Female,192312,Not Graduate,Married,30,83345,48,709,1,Own,680,P1
25,Female,187698,Not Graduate,Single,3,53053,36,674,4,Rent,4181,P3
55,Male,130869,Graduate,Married,7,348321,60,724,1,Rent,4586,P3
29,Male,115472,Not Graduate,Single,9,425812,48,749,0,Rent,2124,P3
37,Female,51798,Graduate,Married,20,456140,12,789,3,Own,497,P3
65,Male,52084,Graduate,Married,29,125564,12,381,1,None,1171,P4
47,Female,23359,Not Graduate,Married,29,382723,48,760,3,None,2894,P4
41,Male,136271,Not Graduate,Single,23,60051,24,610,0,Own,1717,P2
45,Male,97966,Not Graduate,Married,23,390327,24,368,2,Own,3751,P4
56,Male,54546,Graduate,Married,12,285261,60,842,1,None,3998,P3
32,Female,44092,Graduate,Married,18,431624,12,747,3,None,2183,P4
49,Female,31436,Graduate,Married,5,38454,36,448,1,Own,3074,P4
60,Male,135373,Not Graduate,Single,15,389449,24,790,1,Own,318,P2
46,Female,143357,Not Graduate,Single,9,236212,12,702,5,None,683,P3
41,Female,133695,Not Graduate,Married,28,286444,24,546,5,Rent,1680,P4
27,Female,39925,Graduate,Married,11,271776,36,389,1,Rent,619,P4
32,Female,27444,Not Graduate,Married,12,358567,36,702,3,Own,74,P4
63,Male,39119,Not Graduate,Single,12,301514,12,813,2,None,3436,P4
45,Female,155288,Graduate,Married,27,210898,48,406,1,Rent,117,P3
34,Female,153190,Not Graduate,Married,28,220500,24,300,0,Rent,1197,P4
39,Male,73069,Not Graduate,Single,13,40040,36,426,5,Rent,3607,P4
47,Male,29936,Graduate,Single,30,363497,36,462,0,Own,1043,P4
45,Female,77552,Graduate,Married,23,354262,36,508,2,Rent,1137,P4
52,Female,165759,Not Graduate,Married,26,285663,36,838,1,Rent,3748,P2
32,Male,45815,Not Graduate,Single,28,362222,24,830,4,Rent,110,P3
50,Male,163307,Not Graduate,Single,10,138146,36,669,0,None,1613,P2
40,Female,103400,Not Graduate,Married,17,115742,36,419,3,Rent,2680,P4
63,Male,45450,Graduate,Married,8,462769,12,416,2,Own,341,P4
28,Male,188101,Not Graduate,Married,9,477202,48,344,3,Own,3261,P4
27,Female,113309,Not Graduate,Married,14,427102,36,736,1,Rent,2124,P4
41,Female,140879,Graduate,Married,1,30993,24,421,0,Own,1553,P3
43,Male,37392,Not Graduate,Single,6,276654,12,794,1,Rent,2846,P4
52,Male,86896,Graduate,Married,25,369300,24,630,3,Own,193,P3
39,Male,133863,Graduate,Married,5,23385,36,568,3,Own,3008,P3
62,Male,136164,Graduate,Single,19,484397,60,812,5,Own,2318,P2
42,Female,31327,Not Graduate,Married,23,394608,48,385,5,Rent,292,P4
26,Male,128770,Graduate,Married,8,158029,36,555,4,Own,3929,P3
26,Male,190007,Graduate,Single,14,255698,12,442,0,Rent,2268,P3
64,Male,161549,Not Graduate,Married,27,456671,24,399,4,Own,343,P4
27,Female,57391,Graduate,Single,25,427552,60,819,4,None,1798,P3
63,Female,184269,Not Graduate,Married,28,414086,12,633,4,Rent,3726,P2
33,Female,142921,Not Graduate,Married,19,492080,48,388,3,Rent,2245,P4
25,Male,30250,Graduate,Single,27,373334,36,359,4,None,1937,P4
34,Female,43092,Graduate,Married,12,467991,24,471,3,None,208,P4
48,Male,185827,Not Graduate,Married,18,477127,60,759,3,None,322,P2
40,Female,57727,Graduate,Married,20,14658,24,380,4,Own,1478,P4
56,Female,37416,Graduate,Married,30,328758,48,708,0,Own,1356,P3
48,Female,101171,Not Graduate,Married,11,170314,12,358,3,Rent,3217,P4
39,Male,114609,Not Graduate,Single,27,249966,60,485,0,Rent,2352,P3
49,Female,123157,Not Graduate,Married,15,88028,12,587,5,Rent,629,P3
64,Female,138596,Not Graduate,Married,3,339462,24,371,5,Rent,3258,P4
39,Female,199796,Not Graduate,Married,20,418217,60,518,0,Own,4797,P3
27,Male,156664,Not Graduate,Married,30,208853,48,447,5,Own,4293,P4
39,Female,24666,Not Graduate,Married,14,350620,48,325,2,Rent,4970,P4
58,Female,35943,Not Graduate,Married,17,165819,24,300,4,Rent,2400,P4
30,Male,20056,Not Graduate,Single,28,375997,48,380,3,None,1802,P4
63,Female,91142,Graduate,Married,28,45711,60,712,0,Rent,278,P2
47,Male,83066,Graduate,Married,12,440651,48,320,5,Own,3405,P4
48,Female,188038,Graduate,Single,23,192114,24,578,3,Own,2200,P2
35,Female,85908,Graduate,Married,19,254890,60,313,2,Own,3177,P4
62,Male,25517,Graduate,Married,20,402582,12,418,3,Own,1505,P4
22,Male,179091,Graduate,Single,22,19776,60,398,5,Rent,835,P3
34,Female,66849,Not Graduate,Single,10,472991,12,487,3,Rent,3450,P4
39,Male,184265,Graduate,Married,9,309151,12,709,3,None,1941,P3
42,Male,159401,Graduate,Married,0,487701,12,532,5,Rent,2644,P4
42,Male,178495,Graduate,Married,26,277834,12,308,4,Own,4904,P4
27,Female,167550,Graduate,Married,8,107230,48,379,0,Rent,1407,P3
31,Female,45772,Not Graduate,Married,20,293277,24,467,4,Own,638,P4
25,Female,132713,Graduate,Single,21,287859,12,453,5,Own,3560,P4
46,Male,94179,Graduate,Single,21,460740,24,611,4,Rent,2876,P4
36,Male,133180,Not Graduate,Single,26,289995,60,493,0,Rent,1991,P3
46,Female,154260,Graduate,Married,26,206106,36,709,3,Own,2996,P2
47,Female,110172,Graduate,Married,0,92143,48,439,0,Rent,4616,P4
52,Female,76270,Not Graduate,Married,26,166369,24,673,4,Rent,837,P3
45,Female,184940,Not Graduate,Married,6,292906,36,355,5,Own,3954,P4
50,Female,139383,Not Graduate,Married,20,187639,48,844,0,Rent,2676,P1
47,Male,179398,Not Graduate,Single,20,184567,48,843,0,Own,4028,P1
50,Male,62685,Not Graduate,Married,1,12202,12,451,5,Rent,4588,P4
48,Female,170887,Graduate,Married,8,471492,48,429,4,Rent,800,P4
35,Female,78215,Not Graduate,Married,28,419165,48,300,4,Rent,578,P4
32,Female,102888,Not Graduate,Single,4,131325,12,837,1,Rent,19,P2
56,Female,174878,Graduate,Married,7,73024,24,321,3,Own,948,P4
36,Male,83849,Not Graduate,Single,2,418306,48,301,4,Own,1733,P4
45,Male,65091,Graduate,Single,5,419152,12,353,0,Rent,1278,P4
29,Female,184799,Not Graduate,Married,19,448944,48,462,1,Own,4118,P3
40,Female,193579,Not Graduate,Single,26,275970,60,837,1,Own,3755,P1
44,Male,75994,Graduate,Married,18,369257,36,391,3,Rent,1758,P4
49,Male,75127,Graduate,Married,8,366129,36,614,1,Own,2886,P4
44,Female,60981,Not Graduate,Married,26,111265,12,658,2,Rent,1564,P3
37,Female,24235,Not Graduate,Married,11,264366,48,740,1,Rent,2518,P4
64,Female,119519,Graduate,Single,9,133882,60,685,0,Rent,1453,P2
44,Male,65882,Graduate,Single,15,378166,60,842,4,None,3961,P4
57,Female,172835,Not Graduate,Married,4,485704,36,664,3,Rent,1139,P3
54,Female,50817,Graduate,Married,11,42884,12,765,5,None,4892,P4
46,Female,134349,Not Graduate,Married,24,42535,24,476,3,Rent,4662,P4
60,Female,111229,Not Graduate,Married,18,135785,24,524,4,Rent,979,P3
26,Male,130147,Graduate,Single,30,62957,12,706,2,Rent,2854,P2
62,Male,40289,Not Graduate,Married,24,9463,12,782,2,None,4061,P3
59,Male,103980,Graduate,Single,11,489392,36,302,2,Rent,4220,P4
43,Female,132689,Not Graduate,Married,23,293311,12,538,5,None,1850,P4
54,Male,81369,Not Graduate,Single,26,389563,12,742,2,Rent,2738,P3
44,Male,177482,Graduate,Married,19,285240,60,362,5,None,730,P4
33,Male,115316,Graduate,Married,23,374460,48,494,1,Rent,1257,P3
56,Female,85253,Graduate,Single,15,344651,60,602,4,Own,1282,P4
32,Female,25547,Not Graduate,Married,28,84303,24,345,1,Own,1428,P4
35,Female,50328,Graduate,Married,7,79459,24,804,2,Rent,1996,P3
44,Female,105786,Not Graduate,Single,13,247025,48,502,5,Own,3439,P4
58,Male,92004,Not Graduate,Married,7,188665,48,732,4,Own,4496,P3
38,Male,176873,Graduate,Married,3,421178,24,535,2,Own,2908,P3
43,Male,161474,Not Graduate,Married,19,156568,60,521,2,Rent,2392,P3
22,Female,48614,Graduate,Married,3,167791,48,832,4,Own,3515,P3
26,Female,126468,Not Graduate,Single,7,266856,24,771,0,Rent,3072,P2
23,Male,101793,Graduate,Single,23,100418,12,584,5,Rent,2232,P3
24,Male,38205,Not Graduate,Married,7,429938,12,555,3,Rent,166,P4
60,Male,139865,Graduate,Married,26,10417,60,730,1,Rent,2709,P1
58,Female,116694,Graduate,Married,1,424535,60,677,4,Own,320,P3
57,Male,35742,Not Graduate,Married,14,313159,36,839,5,None,3054,P4
23,Female,104255,Not Graduate,Single,2,444521,48,483,2,None,4692,P4
24,Male,151700,Not Graduate,Married,1,150436,60,362,2,Own,3988,P4
33,Female,78880,Not Graduate,Single,24,450641,12,407,5,Own,4192,P4
46,Female,84240,Graduate,Married,2,432518,60,590,2,Rent,2308,P4
36,Male,39829,Not Graduate,Single,27,231075,36,472,5,None,2448,P4
42,Female,56781,Graduate,Married,18,145341,36,745,5,None,2627,P4
28,Female,196601,Graduate,Married,14,102554,12,782,3,None,1002,P2
53,Female,131744,Not Graduate,Single,28,80030,48,402,0,None,4904,P3
35,Female,51687,Not Graduate,Married,12,293641,48,845,0,Rent,200,P3
23,Male,106895,Graduate,Married,12,480422,12,647,1,Own,4951,P3
54,Male,54693,Graduate,Single,12,285027,48,445,0,Own,4877,P4
61,Female,99693,Not Graduate,Single,20,482565,12,410,4,Own,4701,P4
21,Male,46205,Graduate,Married,26,379090,24,391,3,Own,28,P4
40,Male,131384,Graduate,Single,16,344087,48,559,2,Own,4772,P3
58,Male,122635,Graduate,Married,8,363859,48,339,4,Rent,1188,P4
52,Male,134018,Graduate,Single,27,464551,12,372,0,Rent,1304,P4
59,Male,99860,Graduate,Married,18,429750,36,715,3,Own,3420,P3
39,Male,71476,Not Graduate,Married,25,85107,24,569,2,None,1988,P3
37,Female,64920,Graduate,Married,13,294540,48,590,0,None,4690,P4
52,Female,58726,Graduate,Single,6,232869,60,478,2,Own,2482,P4
27,Male,97296,Not Graduate,Single,29,440207,48,606,0,Own,585,P4
31,Male,101263,Not Graduate,Married,21,106058,48,488,0,Rent,1197,P3
48,Female,141234,Not Graduate,Married,9,410888,36,324,1,None,3870,P4
51,Male,29438,Not Graduate,Married,26,241998,36,613,1,Rent,2878,P4
26,Male,70706,Not Graduate,Married,0,466469,24,344,3,Own,1659,P4
43,Male,173473,Not Graduate,Single,28,396633,60,679,4,Rent,1097,P3
37,Male,184745,Not Graduate,Married,17,175757,24,803,2,None,3399,P2
43,Male,187564,Not Graduate,Single,18,423240,60,667,3,Own,1333,P2
64,Male,75142,Not Graduate,Single,0,97773,48,617,0,Rent,483,P3
24,Female,44683,Graduate,Married,5,7061,60,831,4,Rent,2781,P3
65,Female,55672,Not Graduate,Married,22,255877,48,420,3,Own,4324,P4
41,Male,43737,Not Graduate,Single,17,197804,24,726,2,None,1542,P4
55,Female,191823,Graduate,Single,3,67241,24,414,5,Own,3536,P4
40,Female,179010,Not Graduate,Single,20,497064,12,300,1,None,2232,P4
34,Male,165901,Graduate,Married,23,24337,60,432,2,Rent,4778,P3
55,Male,151365,Graduate,Married,8,296711,12,576,5,Own,3036,P4
51,Female,81765,Not Graduate,Single,21,134204,60,335,0,Rent,2512,P4
27,Male,105624,Graduate,Married,30,151617,48,453,3,Own,1140,P3
52,Male,171458,Graduate,Single,14,109490,12,327,3,Own,4439,P4
54,Male,166586,Graduate,Single,7,197552,60,434,4,Own,228,P4
38,Male,113387,Not Graduate,Married,29,335349,12,696,5,None,2702,P3
62,Male,170761,Graduate,Married,28,164669,12,383,2,None,1331,P3
49,Male,82415,Not Graduate,Married,14,362222,36,445,0,Own,2564,P4
36,Male,94430,Not Graduate,Single,13,226561,12,374,2,Rent,4917,P4
21,Female,171130,Not Graduate,Married,25,393679,12,511,0,None,473,P3
51,Male,87756,Not Graduate,Married,0,225021,48,719,4,Rent,262,P4
30,Female,155390,Not Graduate,Single,9,185959,60,596,3,Own,4071,P3
55,Female,101591,Graduate,Single,16,255897,12,410,4,Own,3492,P4
44,Female,73617,Not Graduate,Married,20,344852,48,476,2,Rent,2061,P4
42,Female,59390,Graduate,Single,19,234930,48,669,5,Own,1112,P4
28,Male,129202,Graduate,Married,11,453543,12,563,5,Rent,3000,P4
53,Male,106339,Graduate,Single,26,260476,12,553,5,Rent,1285,P3
28,Male,86490,Not Graduate,Single,20,151534,36,776,4,Rent,3254,P3
39,Female,153768,Graduate,Married,16,18854,48,751,1,Own,2025,P1
58,Female,20189,Not Graduate,Married,29,199306,24,434,0,Rent,3874,P4
62,Female,36594,Graduate,Married,2,31941,36,688,5,Rent,3292,P4
65,Male,193127,Graduate,Single,22,22703,36,735,5,Rent,2877,P2
64,Male,139436,Graduate,Single,28,188716,48,795,5,Own,487,P1
46,Female,118933,Not Graduate,Married,20,148716,24,445,3,Rent,3100,P4
30,Female,22652,Graduate,Single,17,443046,48,701,5,Own,3491,P4
58,Female,127718,Graduate,Married,11,366426,60,403,2,Own,2604,P4
57,Male,98263,Graduate,Single,8,396462,36,544,0,Rent,2965,P4
65,Male,127981,Graduate,Single,16,275004,48,340,1,Rent,3070,P4
50,Male,27380,Not Graduate,Married,27,59526,12,632,5,Own,1168,P4
27,Female,119116,Graduate,Married,14,426248,60,676,3,Rent,2221,P4
43,Male,124016,Graduate,Single,3,249941,24,546,5,Rent,630,P4
41,Female,72208,Not Graduate,Single,14,217390,12,526,5,Rent,3882,P4
58,Male,29812,Graduate,Married,3,304271,36,433,4,Rent,728,P4
38,Male,194884,Graduate,Single,29,86037,24,724,0,None,4053,P1
35,Male,147690,Not Graduate,Married,16,243189,36,801,1,Rent,3182,P2
24,Female,131900,Not Graduate,Married,6,304857,60,373,2,Own,2586,P4
58,Female,158076,Not Graduate,Single,19,350296,36,451,0,None,2524,P3
54,Female,140766,Graduate,Married,16,252585,24,632,5,Own,733,P3
22,Female,44191,Graduate,Single,15,498646,60,501,1,Rent,3259,P4
40,Male,101863,Graduate,Single,18,495152,24,307,2,None,1867,P4
42,Male,179961,Graduate,Married,28,52754,60,311,4,Own,3918,P4
42,Female,71815,Graduate,Married,26,46015,60,428,0,Own,4200,P3
62,Male,194998,Not Graduate,Married,8,260189,36,833,3,Own,4587,P2
27,Male,31582,Not Graduate,Married,7,414782,48,635,0,None,4584,P4
34,Female,79530,Graduate,Single,30,258624,48,440,5,Rent,3810,P4
29,Female,83041,Graduate,Married,19,112454,60,330,4,Rent,1335,P4
31,Male,131135,Not Graduate,Single,0,283378,36,716,2,Own,1369,P3
61,Female,51697,Graduate,Married,16,471846,36,507,4,Own,4706,P4
63,Female,61245,Graduate,Married,3,87649,24,516,1,Own,4819,P3
23,Female,139176,Graduate,Single,0,225522,36,609,0,None,1383,P3
49,Female,71233,Not Graduate,Married,5,320987,48,425,0,Own,3241,P4
31,Male,178221,Not Graduate,Single,7,199665,36,700,1,None,4595,P2
29,Male,176635,Graduate,Single,2,26948,24,472,4,Rent,4239,P4
34,Female,74496,Graduate,Single,25,336481,36,688,3,None,4678,P4
29,Male,120791,Not Graduate,Married,13,371856,36,585,1,Rent,1758,P4
43,Male,79919,Not Graduate,Married,17,329302,12,381,4,Rent,2524,P4
65,Female,82077,Not Graduate,Single,26,333264,48,643,2,Own,2993,P4
47,Male,140666,Graduate,Married,25,330085,60,341,0,Rent,4753,P4
53,Female,72762,Not Graduate,Single,25,168560,24,693,4,Rent,4915,P4
43,Male,46869,Not Graduate,Single,6,13240,24,507,2,Own,2746,P4
21,Male,66641,Not Graduate,Married,23,494550,12,669,3,None,4263,P4
24,Female,187299,Graduate,Single,30,106219,36,432,3,Own,1894,P3
33,Female,66678,Not Graduate,Single,0,415246,36,524,0,Own,3019,P4
31,Male,85492,Graduate,Married,26,272632,60,468,0,Rent,4051,P4
58,Male,133187,Graduate,Single,26,272070,60,438,0,Rent,4436,P3
58,Male,38216,Graduate,Single,26,15387,48,488,1,Own,542,P3
59,Male,68322,Not Graduate,Married,12,495303,24,329,1,None,365,P4
49,Female,51443,Graduate,Single,6,266632,12,518,5,Own,1083,P4
46,Male,186386,Not Graduate,Married,22,415895,36,367,4,Rent,509,P4
50,Male,187895,Graduate,Married,19,390007,48,585,5,Own,1066,P3
39,Male,156032,Graduate,Single,22,73298,12,349,2,Own,4744,P3
51,Male,64481,Graduate,Single,7,474058,36,305,1,Rent,3110,P4
56,Female,130955,Not Graduate,Married,5,297575,12,541,2,None,485,P4
55,Male,139209,Graduate,Single,27,96633,24,464,5,Rent,3545,P4
48,Female,176489,Graduate,Married,15,292525,24,783,2,Own,4697,P2
23,Male,48109,Graduate,Married,26,310096,12,445,3,Own,4187,P4
53,Male,152526,Graduate,Married,28,328208,24,520,0,None,4278,P3
37,Female,54938,Graduate,Single,14,164135,48,430,5,Own,4500,P4
54,Male,122365,Graduate,Married,8,470675,60,790,3,Rent,3755,P3
45,Male,178263,Graduate,Married,27,122267,48,734,5,Own,4376,P2
60,Male,31173,Not Graduate,Single,22,248556,24,394,1,Own,3986,P4
36,Male,46646,Graduate,Married,20,420107,60,438,3,Own,3410,P4
62,Female,166364,Graduate,Married,29,43303,36,402,1,Own,997,P2
59,Female,23375,Graduate,Married,7,204763,24,383,2,Rent,4575,P4
35,Male,143323,Graduate,Single,11,242269,60,432,1,Own,449,P3
42,Female,110222,Not Graduate,Single,1,387590,24,769,0,None,1377,P3
44,Female,82388,Graduate,Single,12,394959,48,552,2,Own,3612,P4
55,Female,175291,Graduate,Married,13,399479,12,511,3,Rent,3627,P3
52,Male,172813,Not Graduate,Married,14,182511,24,405,0,Rent,4416,P4
59,Female,78678,Graduate,Single,4,248343,60,401,2,Own,383,P4
37,Male,20796,Not Graduate,Married,25,18416,24,605,0,Own,3938,P3
43,Female,43069,Not Graduate,Married,15,412238,60,713,3,Own,626,P4
40,Female,39325,Graduate,Married,13,155105,36,607,1,Own,3045,P4
61,Male,196802,Graduate,Married,26,236378,60,662,0,Own,1130,P1
34,Male,127441,Graduate,Married,15,342664,36,444,3,Own,2843,P4
47,Female,141813,Graduate,Single,27,389380,36,820,5,Own,513,P2
26,Male,61563,Graduate,Married,6,47574,24,753,5,Rent,170,P3
59,Female,173125,Not Graduate,Single,26,384774,24,783,5,Rent,4829,P2
38,Female,150081,Graduate,Married,30,191102,60,667,1,Own,2556,P2
36,Male,155385,Graduate,Single,23,211791,36,682,1,Rent,2331,P2
47,Male,104284,Graduate,Married,27,70899,36,339,5,Own,1964,P4
43,Male,145684,Not Graduate,Single,22,359813,24,388,3,None,4534,P4
59,Male,117929,Not Graduate,Married,18,240585,48,372,3,Own,3916,P4
44,Male,89221,Graduate,Single,23,56421,24,566,4,Own,2383,P3
44,Male,127009,Not Graduate,Married,29,75049,24,623,0,None,614,P2
25,Female,78381,Graduate,Married,18,362130,12,365,3,Own,3499,P4
21,Male,191513,Not Graduate,Single,21,58973,60,714,3,Own,1019,P1
38,Female,149053,Not Graduate,Single,2,263008,12,602,5,None,1608,P4
65,Female,153017,Not Graduate,Single,29,350411,60,628,2,Rent,3304,P3
62,Female,149009,Graduate,Single,24,456444,24,805,3,Rent,4754,P2
